Model,Training setup,Evaluation reviews,Accuracy,Macro Precision,Macro Recall,Macro F1
Linear SVM,Full classical training split,500,0.818,0.6136,0.5966,0.5992
DistilBERT,"2,000-review subset, 2 epochs",500,0.818,0.6136,0.5966,0.5992
